30000000	1039
30000909	546
30000201	310
30010259	100
11000404	84
30010092	78
30010302	72
30000202	59
30010244	56
11002501	44
30010103	35
30000907	35
11002601	31
30010125	30
30010173	29
30010098	29
30010208	24
30010156	22
30010153	21
11003501	20
30010187	14
50023801	13
50023901	13
30010155	11
30010134	10
80020034	9
41020100	9
80020033	9
41110108	9
11018001	8
80020021	8
80020024	7
70239006	7
30010154	7
30000402	6
30010096	5
11009901	5
80020023	4
50029301	4
30010007	4
70122101	4
80020013	3
30010053	3
70230953	3
70124504	3
70247701	3
80020031	3
20010104	2
70162701	2
11013201	2
41110106	2
20010101	2
11024401	2
70230954	2
20003301	2
70231133	2
11018801	2
41080100	2
21391201	2
41020101	1
80025034	1
50027401	1
70085301	1
21348901	1
70124366	1
80020014	1
70016501	1
30010000	1
70019603	1
21169001	1
21426801	1
21366201	1
70167201	1
70231002	1
30010048	1
11017001	1
70097001	1
30010297	1
70252701	1
30010184	1
30000501	1
80020321	1
30010026	1
30010274	1
11015901	1
41010100	1
11027101	1
70244602	1
50027801	1
30010273	1
11020901	1
11020701	1
11026801	1
30010139	1
11024601	1
11021901	1
41110105	1
80020714	1
21414001	1
30010136	1
